"","rowid","term","group","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","riskaverse","predicted_lo","predicted_hi","predicted","trust","lossavers","Strategies3"
"1",1,"lossavers","1",-0.0579650876172955,0.0635276846394434,-0.91243822195443,0.361538076575704,1.46778049751976,-0.182477061531823,0.0665468862972319,0,0.130079260299575,0.130073463790813,0.130076362059212,8.75901875901876,0.517797024713622,4
"2",2,"lossavers","1",-0.0573220103136651,0.064177405796004,-0.893180545437913,0.371760494652773,1.42755462532035,-0.183107414295045,0.0684633936677147,0.1,0.132858119831164,0.132852387630133,0.132855253747073,8.75901875901876,0.517797024713622,4
"3",3,"lossavers","1",-0.0565846006397863,0.0649919074916768,-0.870640712415355,0.383950359602733,1.38100829587928,-0.183966398610032,0.0707971973304591,0.2,0.135600842201442,0.135595183741378,0.135598012990189,8.75901875901876,0.517797024713622,4
"4",4,"lossavers","1",-0.0557552237284709,0.065928524920932,-0.845691964067723,0.397724607224497,1.33015827042965,-0.184972758127349,0.0734623106704073,0.3,0.138302816621494,0.138297241099122,0.138300028881378,8.75901875901876,0.517797024713622,4
"5",5,"lossavers","1",-0.0548367549690898,0.0668528434709125,-0.820260622017508,0.412067549546377,1.27904723949962,-0.185865920436172,0.0761924104979924,0.4,0.140959565314365,0.140954081638868,0.1409568234999,8.75901875901876,0.517797024713622,4
"6",6,"lossavers","1",-0.0538325534490958,0.0680584258445071,-0.790975588710895,0.428958236737426,1.22109090074006,-0.18722461694882,0.079559510050628,0.5,0.143566768159353,0.143561384904008,0.143564076557088,8.75901875901876,0.517797024713622,4
"7",7,"lossavers","1",-0.0527464298863412,0.0693646116082001,-0.760422766933011,0.447001918735374,1.16164707076273,-0.188698570440022,0.0832057106673399,0.6,0.14612028586445,0.146115011221462,0.146117648570388,8.75901875901876,0.517797024713622,4
"8",8,"lossavers","1",-0.0515826096031402,0.0705396770217393,-0.731256673988502,0.464622389002156,1.10586941916482,-0.189837836046837,0.0866726168405563,0.7,0.148616181407338,0.148611023146378,0.148613602306204,8.75901875901876,0.517797024713622,4
"9",9,"lossavers","1",-0.0503456912104294,0.071880327373593,-0.700409876387474,0.483671370142202,1.0479009517207,-0.19122854405962,0.0905371616387614,0.8,0.151050739515765,0.151045704946644,0.151048222262346,8.75901875901876,0.517797024713622,4
"10",10,"lossavers","1",-0.0490406017183975,0.0732289285494826,-0.669688915156796,0.503056119440766,0.991208743121544,-0.19256666430184,0.0944854608650454,0.9,0.153420483992578,0.153415579932407,0.153418031995303,8.75901875901876,0.517797024713622,4
"11",11,"lossavers","1",-0.0476725488529617,0.0747763958781378,-0.637534723265521,0.523776599680156,0.932976487813412,-0.194231591667821,0.0988864939618978,1,0.155722192728321,0.155717425473435,0.155719809135224,8.75901875901876,0.517797024713622,4
"12",1,"riskaverse","1",0.0279539282852223,0.0631791603246605,0.442454887680916,0.658160068090971,0.603489597010239,-0.0958749505245942,0.151782807095039,0,0.130075345550621,0.130077378563648,0.130076362059212,8.75901875901876,0.517797024713622,4
"13",2,"riskaverse","1",0.0276160375744726,0.0655525727348576,0.421280758669412,0.673550078883438,0.570142879903778,-0.100864644079791,0.156096719228736,0.1,0.132854249525106,0.132856257964262,0.132855253747073,8.75901875901876,0.517797024713622,4
"14",3,"riskaverse","1",0.0272314581284529,0.0677079229936833,0.402190126715206,0.687544107902354,0.540475825419738,-0.105473632407178,0.159936548664083,0.2,0.135597022752624,0.135599003222365,0.135598012990189,8.75901875901876,0.517797024713622,4
"15",4,"riskaverse","1",0.0268013923780251,0.0701435743039197,0.382093337044665,0.702392133831219,0.509651406828211,-0.110677487004567,0.164280271760617,0.3,0.138299054282272,0.138301003474503,0.138300028881378,8.75901875901876,0.517797024713622,4
"16",5,"riskaverse","1",0.0263272956403668,0.0721977921283454,0.364655135070682,0.715368852737219,0.48324079033644,-0.1151777766945,0.167832367975233,0.4,0.14095586614039,0.140957780852857,0.1409568234999,8.75901875901876,0.517797024713622,4
"17",6,"riskaverse","1",0.0258108627841174,0.074339907571224,0.347200630554839,0.728440597158366,0.45711676663228,-0.119892678669518,0.171514404237753,0.5,0.143563137976682,0.143565015130395,0.143564076557088,8.75901875901876,0.517797024713622,4
"18",7,"riskaverse","1",0.0252540121722922,0.0765808745547421,0.329769179565062,0.741574376992669,0.431336698313661,-0.124841743859582,0.175349768204167,0.6,0.146116730238834,0.14611856689432,0.146117648570388,8.75901875901876,0.517797024713622,4
"19",8,"riskaverse","1",0.0246588671474408,0.0789587484060157,0.312300633498416,0.75481205864948,0.405810623704649,-0.130097435992709,0.179415170287591,0.7,0.148612705616043,0.148614498988252,0.148613602306204,8.75901875901876,0.517797024713622,4
"20",9,"riskaverse","1",0.0240277353964179,0.0807658293888699,0.297498776131296,0.766085742227739,0.384422223671732,-0.134270381387274,0.18232585218011,0.8,0.151047348522201,0.151049095993918,0.151048222262346,8.75901875901876,0.517797024713622,4
"21",10,"riskaverse","1",0.0233630865458752,0.0830118694127431,0.281442722723322,0.7783708537811,0.361470405699384,-0.139337187792443,0.186063360884194,0.9,0.153417182423994,0.153418881557612,0.153418031995303,8.75901875901876,0.517797024713622,4
"22",11,"riskaverse","1",0.0226675283853791,0.0841340391712358,0.269421611141769,0.787605257520168,0.344455353159123,-0.142232158264125,0.187567215034883,1,0.155718984856745,0.155720633404313,0.155719809135224,8.75901875901876,0.517797024713622,4
"23",1,"trust","1",0.0107167130010064,0.00335534774793677,3.19392021515389,0.00140354901872475,9.47670483403846,0.0041403522594427,0.01729307374257,0,0.130067788903251,0.130084935644053,0.130076362059212,8.75901875901876,0.517797024713622,4
"24",2,"trust","1",0.0108271967641169,0.00308596601739402,3.50852754148603,0.000450594577371337,11.1158824278193,0.00477881451251008,0.0168755790157236,0.1,0.13284659220221,0.132863915717033,0.132855253747073,8.75901875901876,0.517797024713622,4
"25",3,"trust","1",0.010930125505567,0.00287050461719838,3.80773660494399,0.000140244532996141,12.7997678466696,0.00530403983840226,0.0165562111727318,0.2,0.135589269100279,0.135606757301087,0.135598012990189,8.75901875901876,0.517797024713622,4
"26",4,"trust","1",0.0110254256153325,0.00270264734073009,4.0794910416814,4.51344090203979e-05,14.4354127572388,0.00572833416458855,0.0163225170660764,0.3,0.138291208749179,0.138308849430163,0.138300028881378,8.75901875901876,0.517797024713622,4
"27",5,"trust","1",0.0111130615678724,0.00263318226220818,4.22039208123521,2.43877785026974e-05,15.3234821262702,0.00595211916921469,0.0162740039665302,0.4,0.140947933256608,0.140965714155117,0.1409568234999,8.75901875901876,0.517797024713622,4
"28",6,"trust","1",0.0111930353154273,0.00264544066188804,4.23106648229972,2.32585909164193e-05,15.3918767782909,0.00600806689488892,0.0163780037359656,0.5,0.143555122332355,0.14357303118886,0.143564076557088,8.75901875901876,0.517797024713622,4
"29",7,"trust","1",0.0112653852699617,0.00274664380774328,4.10150935414433,4.10463910462767e-05,14.5723850940543,0.00588206232842487,0.0166487082114984,0.6,0.146108636463153,0.146126661079585,0.146117648570388,8.75901875901876,0.517797024713622,4
"30",8,"trust","1",0.0113301848992178,0.00292865668539086,3.86873099729875,0.000109403259759805,13.1580566544972,0.0055901232727693,0.0170702465256664,0.7,0.14860453835665,0.148622666652489,0.148613602306204,8.75901875901876,0.517797024713622,4
"31",9,"trust","1",0.0113875409698747,0.00318309379731387,3.57750719739528,0.000346886670584386,11.4932479746452,0.00514879176772663,0.0176262901720227,0.8,0.151039112425258,0.15105733249081,0.151048222262346,8.75901875901876,0.517797024713622,4
"32",10,"trust","1",0.0114375914760101,0.00348862533252126,3.27853821658287,0.00104346234173147,9.90440574969152,0.00460001146871435,0.0182751714833058,0.9,0.153408882115089,0.15342718226145,0.153418031995303,8.75901875901876,0.517797024713622,4
"33",11,"trust","1",0.0114805032963572,0.00382367204364526,3.00248116609195,0.00267788542882343,8.5446900472277,0.00398624380211983,0.0189747627905946,1,0.155710624922803,0.155728993728077,0.155719809135224,8.75901875901876,0.517797024713622,4
