"","rowid","term","group","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","lossavers","predicted_lo","predicted_hi","predicted","trust","riskaverse","Strategies3"
"1",1,"lossavers","1",-0.039566252857115,0.0859065854701969,-0.46057298914344,0.645104994239165,0.632394109016825,-0.207940066413513,0.128807560699283,0,0.168192066157246,0.16818810953196,0.168190087885086,8.75901875901876,0.507674153491016,4
"2",2,"lossavers","1",-0.042740694093657,0.0831412700234675,-0.51407314419894,0.607200852830005,0.719754277828392,-0.205694588968573,0.120213200781259,0.1,0.164075742055436,0.164071467986026,0.164073605059511,8.75901875901876,0.507674153491016,4
"3",3,"lossavers","1",-0.0457552331242783,0.0799934699900495,-0.571987102571871,0.567330712364104,0.817738128682081,-0.202539553303161,0.111029087054604,0.2,0.159649567200305,0.159644991676993,0.159647279475135,8.75901875901876,0.507674153491016,4
"4",4,"lossavers","1",-0.0485630678861981,0.0764098706982251,-0.63556013696181,0.525063158593593,0.92943712332893,-0.198323662518082,0.101197526745685,0.3,0.154931878842718,0.154927022535929,0.15492945072294,8.75901875901876,0.507674153491016,4
"5",5,"lossavers","1",-0.0511193343577521,0.0726686212666398,-0.703458156584286,0.48177027458151,1.05358271342559,-0.193547214846547,0.0913085461310433,0.4,0.149945611447939,0.149940499514503,0.149943055511425,8.75901875901876,0.507674153491016,4
"6",6,"lossavers","1",-0.0533827665061271,0.0688644752686676,-0.775185845791458,0.438229850709088,1.19024033579154,-0.188354657846965,0.0815891248347107,0.5,0.144718019900337,0.144712681623686,0.144715350788318,8.75901875901876,0.507674153491016,4
"7",7,"lossavers","1",-0.0553172937139967,0.064626202023328,-0.855957676331173,0.392021190427597,1.35099645458122,-0.181982322137329,0.0713477347093356,0.6,0.139280238943332,0.139274707213961,0.139277473100642,8.75901875901876,0.507674153491016,4
"8",8,"lossavers","1",-0.0568934685632461,0.0602939948014959,-0.943600913333984,0.345373625348434,1.53377018003401,-0.175067526858223,0.0612805897317312,0.7,0.133666690470225,0.133661001123369,0.13366384581416,8.75901875901876,0.507674153491016,4
"9",9,"lossavers","1",-0.0580896249136043,0.0557046687180688,-1.04281429636726,0.297034308733312,1.75129851678813,-0.167268769371754,0.0510895195445455,0.8,0.127914360732937,0.127908551770446,0.127911456264204,8.75901875901876,0.507674153491016,4
"10",10,"lossavers","1",-0.058892683969386,0.0510757206830052,-1.15304655875334,0.248891274873152,2.00641243876636,-0.158999256992504,0.0412138890537317,0.9,0.122061978740009,0.122056089471612,0.122059034113366,8.75901875901876,0.507674153491016,4
