"","rowid","term","group","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","lossavers","predicted_lo","predicted_hi","predicted","trust","riskaverse","Strategies3"
"1",1,"lossavers","1",-0.039566252857115,0.0859969366190335,-0.460089096340647,0.645452270188019,0.631617679616698,-0.208117151411194,0.128984645696964,0,0.168192066157248,0.168188109531962,0.168190087885088,8.75901875901876,0.507674153491016,4
"2",2,"lossavers","1",-0.0427406940942121,0.082985226327834,-0.515039796666512,0.60652521074446,0.721360481429303,-0.205388748945672,0.119907360757248,0.1,0.164075742055437,0.164071467986028,0.164073605059512,8.75901875901876,0.507674153491016,4
"3",3,"lossavers","1",-0.0457552331240008,0.0798756019755804,-0.572831152345983,0.566759024020119,0.819192637936865,-0.202308536239595,0.110798069991593,0.2,0.159649567200306,0.159644991676994,0.159647279475136,8.75901875901876,0.507674153491016,4
"4",4,"lossavers","1",-0.0485630678859206,0.0765619653355666,-0.634297561107157,0.525886647870592,0.927176227267124,-0.198621762529235,0.101495626757394,0.3,0.154931878842719,0.15492702253593,0.15492945072294,8.75901875901876,0.507674153491016,4
"5",5,"lossavers","1",-0.0511193343574745,0.0728233031884815,-0.701963960975065,0.482701638854288,1.05079636990112,-0.193850385842139,0.09161171712719,0.4,0.149945611447939,0.149940499514504,0.149943055511426,8.75901875901876,0.507674153491016,4
"6",6,"lossavers","1",-0.0533827665058495,0.068895830772933,-0.774833047326021,0.438438318760448,1.18955420199537,-0.188416113505765,0.0816505804940655,0.5,0.144718019900337,0.144712681623687,0.144715350788318,8.75901875901876,0.507674153491016,4
"7",7,"lossavers","1",-0.0553172937139967,0.0647176848512404,-0.85474772222073,0.392690825049724,1.34853420406384,-0.182161625185241,0.0715270377572478,0.6,0.139280238943332,0.13927470721396,0.139277473100642,8.75901875901876,0.507674153491016,4
"8",8,"lossavers","1",-0.0568934685635236,0.0602903147544835,-0.943658509583295,0.345344182601944,1.53389317354566,-0.175060314098895,0.0612733769718478,0.7,0.133666690470225,0.133661001123368,0.13366384581416,8.75901875901876,0.507674153491016,4
"9",9,"lossavers","1",-0.0580896249133267,0.0557745608935144,-1.04150752570212,0.297640062272813,1.7483593690047,-0.167405755518151,0.0512265056914977,0.8,0.127914360732936,0.127908551770445,0.127911456264204,8.75901875901876,0.507674153491016,4
"10",10,"lossavers","1",-0.0588926839688309,0.0511290390131056,-1.15184413995607,0.249385125944604,2.00355267368881,-0.159103758998661,0.0413183910609994,0.9,0.122061978740009,0.122056089471612,0.122059034113365,8.75901875901876,0.507674153491016,4
"11",11,"lossavers","1",-0.0592985529054846,0.0463488810217961,-1.27939556680125,0.200757794199051,2.31647209502007,-0.150140690431937,0.0315435846209677,1,0.116149134068226,0.116143204212935,0.116146169143183,8.75901875901876,0.507674153491016,4
"12",1,"riskaverse","1",0.0185543838140229,0.085323938195887,0.217458127300989,0.827851335757343,0.272556380812788,-0.148677462069037,0.185786229697083,0,0.168189413174736,0.168190762584508,0.168190087885088,8.75901875901876,0.507674153491016,4
"13",2,"riskaverse","1",0.0201604527486529,0.0831782639099951,0.242376455109329,0.808488476646108,0.306700883716551,-0.142865948811505,0.183186854308811,0.1,0.164072871946862,0.164074338161651,0.164073605059512,8.75901875901876,0.507674153491016,4
"14",3,"riskaverse","1",0.0216888412906342,0.0814546701920667,0.266268849158591,0.790032162119622,0.340016708450788,-0.137959378658405,0.181337061239673,0.2,0.159646490785008,0.15964806815533,0.159647279475136,8.75901875901876,0.507674153491016,4
"15",4,"riskaverse","1",0.0231161738826812,0.0795398075732574,0.290623960353322,0.771338932964977,0.374563162812297,-0.13277898429815,0.179011332063512,0.3,0.154928610130171,0.154930291306504,0.15492945072294,8.75901875901876,0.507674153491016,4
"16",5,"riskaverse","1",0.0244200129953301,0.0773642164198408,0.315649975213442,0.752268200707019,0.410680987709469,-0.12721106487972,0.17605109087038,0.4,0.14994216750676,0.149943943507758,0.149943055511426,8.75901875901876,0.507674153491016,4
"17",6,"riskaverse","1",0.0255796856382737,0.0746989981893747,0.342436796453747,0.732022200887172,0.450040691427049,-0.120827660494123,0.171987031770671,0.5,0.144714420614237,0.144716280955067,0.144715350788318,8.75901875901876,0.507674153491016,4
"18",7,"riskaverse","1",0.0265770796390057,0.072545522362406,0.366350379369221,0.714103641277277,0.485794620204756,-0.115609531430955,0.168763690708967,0.6,0.139276506658243,0.13927843953682,0.139277473100642,8.75901875901876,0.507674153491016,4
"19",8,"riskaverse","1",0.0273973563924852,0.0701418933349981,0.390599042738057,0.696093633326305,0.522646715178524,-0.110078228351561,0.164872941136531,0.7,0.133662849544115,0.133664842079184,0.13366384581416,8.75901875901876,0.507674153491016,4
"20",9,"riskaverse","1",0.0280295302645539,0.0677798252026727,0.413537954409606,0.679212520774021,0.558065040748925,-0.104816486011105,0.160875546540213,0.8,0.127910437006646,0.127912475517999,0.127911456264204,8.75901875901876,0.507674153491016,4
"21",10,"riskaverse","1",0.0284668735841626,0.065316425909668,0.43583024006139,0.662959901719836,0.593006481471647,-0.0995509687976656,0.156484715965991,0.9,0.122057998953058,0.122060069271199,0.122059034113365,8.75901875901876,0.507674153491016,4
"22",11,"riskaverse","1",0.0287071195004184,0.0624854938937277,0.459420542458095,0.645932199286337,0.630545355489584,-0.0937621980874855,0.151176437088322,1,0.116145125247306,0.116147213037877,0.116146169143183,8.75901875901876,0.507674153491016,4
