"treatment","session","id","period","endowment","belief_attack","belief_arming","production","arming","attack","opponent_production","opponent_arming","opponent_attack","conflict","rel_arming","arm_def","arm_att","unarmed_peace","choose_UP","win_conflict","comp1","comp2","likestowin","compulsive","trust","auszahlung","age","male","playerdem_study","bachelor","playerdem_understand","attack_profit","attack_spite","attack_super","attack_fight1","attack_fight2","attack_encourage","attack_chance","attack_mistake","attack_understand","noattack_risk","noattack_efficient","noattack_ownprofit","noattack_otherprofit","noattack_discourage","noattack_mistake","noattack_understand","arming_attack","arming_security","arming_noattack","arming_inefficient","arming_unequala1","arming_unequala2","arming_unequalb1","arming_unequalb2","arming_understand","indep_obs","Strategies3","choose_UC","choose_AP","choose_AC","riskaverse","econstudent","trustworth","no_cointosses","lossavers","lossavers_rel_orig","weird_LossAversion","mulSw_LossAversion","lossaversion_ordinal","X_score","Y_score","EET_type","EET_type_new","check_dec","check_game","belief_UP","reg_bel_arm","reg_bel_att","correct_beliefs","Altruist","Selfish","Maximin","armed_peace","armed_conflict"
0,8,8,4,120,NA,NA,0,120,1,1,79,1,1,1,NA,120,0,0,0,3,3,3,3,0,11.5,43,1,7,0,2,5,2,2,2,2,1,4,1,1,1,1,1,1,1,1,1,4,2,1,1,NA,NA,5,1,1,8,4,0,0,1,0.545454561710358,0,0,3,0.5,0.5,0,0,3,0.5,0.5,9,2,1,0,NA,20,0,0,0,1,0,0,1
0,15,15,3,120,NA,NA,10,110,1,60,20,0,1,0.916666686534882,NA,110,0,0,1,8,7,7,6,6,14,21,0,4,1,3,2,5,1,5,4,5,5,1,2,3,3,3,3,3,3,1,5,4,1,1,NA,NA,5,2,1,15,4,0,0,1,0.636363625526428,0,0.295634925365448,3,0.5,0.5,0,0,3,0.5,0.5,9,2,1,1,NA,20,0,0,0,1,0,0,1
0,15,15,4,120,NA,NA,20,100,1,60,20,0,1,0.833333313465118,NA,100,0,0,1,8,7,7,6,6,14,21,0,4,1,3,2,5,1,5,4,5,5,1,2,3,3,3,3,3,3,1,5,4,1,1,NA,NA,5,2,1,15,4,0,0,1,0.636363625526428,0,0.295634925365448,3,0.5,0.5,0,0,3,0.5,0.5,9,2,1,1,NA,20,0,0,0,1,0,0,1
0,15,15,6,120,NA,NA,30,90,1,5,75,1,1,0.75,NA,90,0,0,0,8,7,7,6,6,14,21,0,4,1,3,2,5,1,5,4,5,5,1,2,3,3,3,3,3,3,1,5,4,1,1,NA,NA,5,2,1,15,4,0,0,1,0.636363625526428,0,0.295634925365448,3,0.5,0.5,0,0,3,0.5,0.5,9,2,1,1,NA,20,0,0,0,1,0,0,1
0,15,15,1,120,0,20,70,50,1,0,80,1,1,0.416666656732559,NA,50,0,0,0,8,7,7,6,6,14,21,0,4,1,3,2,5,1,5,4,5,5,1,2,3,3,3,3,3,3,1,5,4,1,1,NA,NA,5,2,1,15,4,0,0,1,0.636363625526428,0,0.295634925365448,3,0.5,0.5,0,0,3,0.5,0.5,9,2,1,1,0,20,0,0,0,1,0,0,1
0,15,15,7,120,NA,NA,15,105,1,15,65,1,1,0.875,NA,105,0,0,1,8,7,7,6,6,14,21,0,4,1,3,2,5,1,5,4,5,5,1,2,3,3,3,3,3,3,1,5,4,1,1,NA,NA,5,2,1,15,4,0,0,1,0.636363625526428,0,0.295634925365448,3,0.5,0.5,0,0,3,0.5,0.5,9,2,1,1,NA,20,0,0,0,1,0,0,1
0,15,15,2,120,NA,NA,30,90,1,20,60,1,1,0.75,NA,90,0,0,0,8,7,7,6,6,14,21,0,4,1,3,2,5,1,5,4,5,5,1,2,3,3,3,3,3,3,1,5,4,1,1,NA,NA,5,2,1,15,4,0,0,1,0.636363625526428,0,0.295634925365448,3,0.5,0.5,0,0,3,0.5,0.5,9,2,1,1,NA,20,0,0,0,1,0,0,1
0,15,15,5,120,NA,NA,25,95,1,80,0,0,1,0.791666686534882,NA,95,0,0,1,8,7,7,6,6,14,21,0,4,1,3,2,5,1,5,4,5,5,1,2,3,3,3,3,3,3,1,5,4,1,1,NA,NA,5,2,1,15,4,0,0,1,0.636363625526428,0,0.295634925365448,3,0.5,0.5,0,0,3,0.5,0.5,9,2,1,1,NA,20,0,0,0,1,0,0,1
0,15,22,4,120,NA,NA,110,10,0,80,0,0,0,0.0833333358168602,10,NA,0,0,NA,2,5,6,4,10,14,20,0,13,0,3,1,1,4,4,4,2,4,2,1,2,4,5,5,2,1,1,2,4,2,5,NA,NA,2,4,1,15,2,0,1,0,0.636363625526428,0,0.255456358194351,3,0.5,0.5,0,0,3,0.5,4.5,8,3,1,1,NA,30,0,0,0,0,1,1,0
0,15,22,5,120,NA,NA,115,5,0,10,70,1,1,0.0416666679084301,5,NA,0,0,0,2,5,6,4,10,14,20,0,13,0,3,1,1,4,4,4,2,4,2,1,2,4,5,5,2,1,1,2,4,2,5,NA,NA,2,4,1,15,2,0,1,0,0.636363625526428,0,0.255456358194351,3,0.5,0.5,0,0,3,0.5,4.5,8,3,1,1,NA,30,0,0,0,0,1,0,1
